Wavelength (nm),Normalized Absorbance
389,0.0
390,0.015902445981601683
391,0.033159808885402584
392,0.05041717178920348
393,0.06767453469300437
394,0.08486058617984749
395,0.10211794908364837
396,0.11937531198744916
397,0.13663267489125014
398,0.1558154460529131
399,0.17521215146544958
400,0.19460885687798618
401,0.21400556229052278
402,0.23340226770305927
403,0.25279897311559585
404,0.27226698994509024
405,0.29166369535762676
406,0.3191899023033588
407,0.34764315766954296
408,0.37616772445268487
409,0.40462097981886896
410,0.4330742351850531
411,0.4615274905512372
412,0.4899807459174214
413,0.5155102331883334
414,0.5391856236183413
415,0.5629323254653069
416,0.5866077158953149
417,0.6103544177422805
418,0.6340298081722884
419,0.6579191328531698
420,0.6845896027954076
421,0.7113313841546032
422,0.7380018540968409
423,0.7646723240390787
424,0.7913427939813164
425,0.815588675746987
426,0.8321329244812095
427,0.8487484846323896
428,0.8653640447835698
429,0.88197960493475
430,0.8985238536689724
431,0.9151394138201526
432,0.9317549739713329
433,0.9393852955858233
434,0.9467303715324824
435,0.9540041360621835
436,0.9612779005918847
437,0.9686229765385436
438,0.975896741068245
439,0.9832418170149041
440,0.9905155815446053
441,0.9977893460743065
442,1.0
443,0.997076231904728
444,0.9940811523924982
445,0.991157384297226
446,0.988162304784996
447,0.9852385366897238
448,0.9822434571774943
449,0.9793196890822219
450,0.9763246095699921
451,0.97340084147472
452,0.9704057619624901
453,0.9674106824502603
454,0.9616344576766741
455,0.9552877415674249
456,0.9490123368751335
457,0.9426656207658849
458,0.9363189046566355
459,0.9299721885473866
460,0.9236967838550951
461,0.9173500677458462
462,0.9110033516365972
463,0.9047279469443057
464,0.8983812308350566
465,0.8851173072808957
466,0.8712828923910717
467,0.857448477501248
468,0.8436140626114241
469,0.8297796477216002
470,0.8159452328317764
471,0.8021108179419525
472,0.7882764030521286
473,0.7751551023318833
474,0.7649575697069101
475,0.7548313484988947
476,0.7446338158739214
477,0.7345075946659061
478,0.7243100620409328
479,0.7141838408329173
480,0.7039863082079442
481,0.6937887755829709
482,0.6836625543749554
483,0.6734650217499821
484,0.6587035584397063
485,0.6438707837124724
486,0.6291093204021965
487,0.6142765456749627
488,0.5994437709477288
489,0.584610996220495
490,0.5697782214932611
491,0.5550167581829851
492,0.5401839834557512
493,0.5253512087285175
494,0.5105184340012836
495,0.49604221635883905
496,0.4822078014690151
497,0.46837338657919136
498,0.4545389716893674
499,0.44070455679954357
500,0.4268701419097197
501,0.4130357270198959
502,0.39920131213007204
503,0.3853668972402482
504,0.3722455965200029
505,0.3596234757184625
506,0.34700135491692224
507,0.334307922698424
508,0.3216858018968838
509,0.3090636810953433
510,0.29637024887684515
511,0.28374812807530486
512,0.2711260072737646
513,0.2584325750552664
514,0.24581045425372602
515,0.23254653069956496
516,0.2189973614775726
517,0.20544819225558014
518,0.19189902303358777
519,0.17834985381159524
520,0.16480068458960284
521,0.15125151536761042
522,0.13770234614561794
523,0.1241531769236255
524,0.1106040077016331
525,0.09826713256792421
526,0.08735648577337234
527,0.07637452756186267
528,0.06546388076731088
529,0.0545532339727591
530,0.04357127576124943
531,0.03266062896669765
532,0.021678670755187982
533,0.0107680239606361
534,0.0
