wavelength,Dendra2 (Green) ex,Dendra2 (Green) em,Dendra2 (Red) ex,Dendra2 (Red) em
300,0.05,,0.4362,
301,0.0457,,0.4399,
302,0.0421,,0.4487,
303,0.0369,,0.4527,
304,0.0354,,0.4598,
305,0.0309,,0.4629,
306,0.0303,,0.4688,
307,0.029,,0.4772,
308,0.0263,,0.4774,
309,0.0257,,0.4761,
310,0.0252,,0.4798,
311,0.0239,,0.4824,
312,0.0229,,0.4885,
313,0.0225,,0.4923,
314,0.0216,,0.4973,
315,0.0216,,0.5036,
316,0.0199,,0.4897,
317,0.0206,,0.501,
318,0.019,,0.5046,
319,0.019,,0.4961,
320,0.018,,0.4887,
321,0.0176,,0.4713,
322,0.0162,,0.4591,
323,0.0155,,0.4426,
324,0.0139,,0.4318,
325,0.0128,,0.4168,
326,0.0127,,0.3923,
327,0.0111,,0.3717,
328,0.0105,,0.362,
329,0.0094,,0.3478,
330,0.008,,0.34,
331,0.0077,,0.3306,
332,0.007,,0.3238,
333,0.0064,,0.3124,
334,0.0069,,0.3099,
335,0.0062,,0.3036,
336,0.006,,0.3029,
337,0.0057,,0.2922,
338,0.0055,,0.2906,
339,0.0059,,0.2838,
340,0.0056,,0.283,
341,0.0057,,0.2693,
342,0.0053,,0.2642,
343,0.0056,,0.2547,
344,0.0052,,0.239,
345,0.0053,,0.2373,
346,0.0058,,0.2261,
347,0.0057,,0.2189,
348,0.0056,,0.2141,
349,0.0055,,0.2049,
350,0.0054,,0.1989,
351,0.0061,,0.1949,
352,0.0058,,0.1909,
353,0.0064,,0.187,
354,0.0062,,0.1839,
355,0.0067,,0.1742,
356,0.007,,0.1646,
357,0.0068,,0.1557,
358,0.0067,,0.1438,
359,0.0066,,0.1362,
360,0.0073,,0.127,
361,0.0073,,0.1146,
362,0.0074,,0.109,
363,0.0074,,0.102,
364,0.0077,,0.0983,
365,0.0079,,0.0923,
366,0.0085,,0.0893,
367,0.0087,,0.0885,
368,0.0088,,0.0885,
369,0.0091,,0.0862,
370,0.0107,,0.0862,
371,0.0104,,0.087,
372,0.0111,,0.0859,
373,0.0116,,0.0877,
374,0.0117,,0.0874,
375,0.0124,,0.0885,
376,0.0122,,0.0894,
377,0.0124,,0.0909,
378,0.0123,,0.0913,
379,0.0121,,0.093,
380,0.0134,,0.0944,
381,0.0134,,0.0972,
382,0.0138,,0.1006,
383,0.0143,,0.1043,
384,0.0147,,0.1089,
385,0.0151,,0.1106,
386,0.0156,,0.1136,
387,0.016,,0.1178,
388,0.0163,,0.1244,
389,0.0166,,0.126,
390,0.017,,0.1322,
391,0.0172,,0.1347,
392,0.0181,,0.1357,
393,0.0187,,0.14,
394,0.019,,0.1439,
395,0.0191,,0.1455,
396,0.0203,,0.1491,
397,0.0211,,0.153,
398,0.0213,,0.1576,
399,0.0231,,0.1617,
400,0.0242,,0.1685,
401,0.0247,,0.1742,
402,0.0257,,0.1763,
403,0.0267,,0.1839,
404,0.027,,0.1861,
405,0.0287,,0.1897,
406,0.0294,,0.1942,
407,0.0306,,0.2012,
408,0.0324,,0.208,
409,0.0329,,0.2131,
410,0.0359,,0.2234,
411,0.0361,,0.2282,
412,0.0381,,0.2344,
413,0.0405,,0.2414,
414,0.0426,,0.2489,
415,0.0448,,0.2563,
416,0.0486,,0.263,
417,0.0507,,0.2716,
418,0.0533,,0.2775,
419,0.0567,,0.2796,
420,0.0603,,0.2838,
421,0.0632,,0.2846,
422,0.0655,,0.288,
423,0.0686,,0.2881,
424,0.0721,,0.2906,
425,0.0753,,0.2908,
426,0.08,,0.2901,
427,0.0845,,0.2962,
428,0.0874,,0.299,
429,0.0932,,0.3021,
430,0.0994,,0.3094,
431,0.1076,,0.3201,
432,0.1144,,0.3275,
433,0.1211,,0.3363,
434,0.1248,,0.3404,
435,0.1312,,0.352,
436,0.1398,,0.3594,
437,0.1468,,0.3663,
438,0.1559,,0.3831,
439,0.163,,0.3877,
440,0.1719,,0.3965,
441,0.1803,,0.3993,
442,0.1886,,0.4007,
443,0.1973,,0.4055,
444,0.2068,,0.4051,
445,0.221,,0.409,
446,0.2348,,0.4085,
447,0.2445,,0.4036,
448,0.2594,,0.403,
449,0.2675,,0.3968,
450,0.2829,,0.3916,
451,0.2955,,0.389,
452,0.3121,,0.3856,
453,0.3317,,0.3823,
454,0.3479,,0.384,
455,0.3713,,0.3851,
456,0.3962,,0.3891,
457,0.4107,,0.3921,
458,0.4398,,0.3948,
459,0.4546,,0.3985,
460,0.4691,,0.4018,
461,0.4738,,0.399,
462,0.4843,,0.4008,
463,0.492,,0.4076,
464,0.5091,,0.416,
465,0.522,,0.4286,
466,0.5373,,0.443,
467,0.5474,,0.4467,
468,0.5575,,0.457,
469,0.5587,,0.4599,
470,0.5714,,0.4677,
471,0.5859,,0.4729,
472,0.5969,,0.4795,
473,0.6111,,0.4803,
474,0.6185,,0.4754,
475,0.6415,,0.4776,
476,0.6637,,0.4715,
477,0.6881,,0.4708,
478,0.7092,,0.4544,
479,0.7313,,0.4493,
480,0.7757,0.0346,0.4471,
481,0.8166,0.0427,0.4436,
482,0.8588,0.0514,0.4395,
483,0.8847,0.0645,0.4389,
484,0.9049,0.0776,0.4245,
485,0.921,0.0938,0.4178,
486,0.9292,0.1151,0.4153,
487,0.9491,0.139,0.4078,
488,0.9645,0.1719,0.4001,
489,0.9859,0.2012,0.4074,
490,0.9816,0.2414,0.4026,
491,1.0,0.2896,0.4045,
492,0.9935,0.3284,0.4057,
493,0.9753,0.3922,0.4074,
494,0.9519,0.4524,0.4092,
495,0.9195,0.5154,0.4062,
496,0.8843,0.5691,0.4079,
497,0.8402,0.6321,0.422,
498,0.7934,0.7007,0.4279,
499,0.7404,0.7454,0.4307,
500,0.6771,0.8033,0.4315,
501,0.6088,0.8572,0.4366,
502,0.5447,0.9051,0.444,
503,0.4707,0.9372,0.4577,
504,0.4293,0.9632,0.4685,
505,0.3722,0.9823,0.4757,
506,0.3204,0.9947,0.4909,
507,0.2736,1.0,0.499,
508,0.2256,0.9842,0.5152,
509,0.1923,0.9763,0.5224,
510,0.1645,0.9519,0.5394,
511,,0.9277,0.5412,
512,,0.893,0.5556,
513,,0.853,0.5668,
514,,0.8155,0.5746,
515,,0.7827,0.5843,
516,,0.7437,0.585,
517,,0.7004,0.5987,
518,,0.6668,0.6044,
519,,0.6316,0.5987,
520,,0.5944,0.5928,
521,,0.5677,0.5948,
522,,0.5445,0.592,
523,,0.5207,0.6007,
524,,0.4988,0.5905,
525,,0.4796,0.5957,
526,,0.4622,0.6054,
527,,0.4462,0.6047,
528,,0.4322,0.6043,
529,,0.4223,0.6033,
530,,0.408,0.5932,
531,,0.3957,0.5992,
532,,0.387,0.6088,
533,,0.3767,0.6207,
534,,0.3674,0.6352,
535,,0.3602,0.6427,
536,,0.3543,0.6515,
537,,0.3448,0.6825,
538,,0.3367,0.7052,
539,,0.3319,0.7462,
540,,0.3211,0.7796,
541,,0.3131,0.7994,
542,,0.3061,0.8148,
543,,0.296,0.8221,
544,,0.2876,0.8446,
545,,0.277,0.863,0.1012
546,,0.2696,0.8763,0.1176
547,,0.2567,0.9029,0.1371
548,,0.247,0.9244,0.1582
549,,0.2359,0.9415,0.1825
550,,0.2251,0.9527,0.2135
551,,0.2137,0.9737,0.2468
552,,0.2074,0.9877,0.271
553,,0.1962,0.9961,0.313
554,,0.1858,1.0,0.3542
555,,0.1796,0.9695,0.3955
556,,0.1682,0.96,0.4452
557,,0.1572,0.9377,0.4925
558,,0.1528,0.9147,0.5349
559,,0.1458,0.8932,0.5921
560,,0.1374,0.8609,0.6403
561,,0.1313,0.816,0.687
562,,0.1247,0.7825,0.7414
563,,0.1186,0.7301,0.7877
564,,0.1118,0.6771,0.8336
565,,0.1077,0.6285,0.877
566,,0.1024,0.5945,0.9216
567,,0.0976,0.5614,0.9457
568,,0.0929,0.5193,0.9801
569,,0.0888,0.4707,1.0
570,,0.0791,0.4265,0.964
571,,0.0755,0.384,0.9757
572,,0.0736,0.3509,0.9909
573,,0.0714,0.3285,0.9857
574,,0.0679,0.2962,0.9825
575,,0.0658,0.2707,0.9632
576,,0.0627,0.2494,0.9578
577,,0.0613,0.226,0.9413
578,,0.0591,0.2168,0.9145
579,,0.0566,0.1979,0.8927
580,,0.055,0.1812,0.886
581,,0.0536,,0.8534
582,,0.0504,,0.811
583,,0.0489,,0.7953
584,,0.047,,0.767
585,,0.0461,,0.7341
586,,0.0447,,0.7011
587,,0.0422,,0.6725
588,,0.0405,,0.6451
589,,0.0393,,0.6227
590,,0.038,,0.5982
591,,0.0364,,0.5755
592,,0.0346,,0.5519
593,,0.0336,,0.5356
594,,0.0323,,0.5249
595,,0.0311,,0.5045
596,,0.0291,,0.4869
597,,0.028,,0.4708
598,,0.0274,,0.4587
599,,0.0251,,0.4479
600,,0.0243,,0.4383
601,,0.0232,,0.431
602,,0.0225,,0.4252
603,,0.0212,,0.419
604,,0.0207,,0.412
605,,0.0201,,0.4074
606,,0.0187,,0.4032
607,,0.0176,,0.3998
608,,0.0173,,0.3933
609,,0.0158,,0.3914
610,,0.0155,,0.3854
611,,0.015,,0.3806
612,,0.0144,,0.3806
613,,0.0137,,0.3783
614,,0.0128,,0.372
615,,0.0122,,0.3648
616,,0.0118,,0.3675
617,,0.0111,,0.3593
618,,0.011,,0.3537
619,,0.0102,,0.3468
620,,0.0096,,0.3408
621,,0.0095,,0.335
622,,0.0089,,0.3252
623,,0.0084,,0.3158
624,,0.008,,0.3061
625,,0.0075,,0.2979
626,,0.0075,,0.2882
627,,0.0073,,0.2778
628,,0.0066,,0.2698
629,,0.0069,,0.2628
630,,0.0066,,0.2517
631,,0.0062,,0.243
632,,0.0061,,0.2326
633,,0.0056,,0.2238
634,,0.0054,,0.2127
635,,0.0051,,0.2027
636,,0.0052,,0.1983
637,,0.0047,,0.1889
638,,0.0046,,0.1789
639,,0.0047,,0.1737
640,,0.0042,,0.1669
641,,0.0039,,0.1585
642,,0.0039,,0.1487
643,,0.0037,,0.1455
644,,0.0037,,0.139
645,,0.0032,,0.1315
646,,0.0033,,0.1265
647,,0.0032,,0.1208
648,,0.0031,,0.1154
649,,0.0029,,0.1107
650,,0.0028,,0.1076
651,,0.0027,,0.1024
652,,0.0025,,0.0981
653,,0.0026,,0.0936
654,,0.0022,,0.0907
655,,0.0022,,0.0875
656,,0.0022,,0.084
657,,0.002,,0.0794
658,,0.0019,,0.0777
659,,0.0019,,0.0761
660,,0.0019,,0.0739
661,,0.0017,,0.0709
662,,0.0017,,0.068
663,,0.0016,,0.0669
664,,0.0016,,0.0651
665,,0.0015,,0.0621
666,,0.0014,,0.0613
667,,0.0013,,0.0595
668,,0.0015,,0.0577
669,,0.0012,,0.0567
670,,0.0012,,0.0537
671,,0.0013,,0.0522
672,,0.0012,,0.0512
673,,0.001,,0.05
674,,0.0011,,0.0471
675,,0.001,,0.0467
676,,0.0009,,0.045
677,,0.0007,,0.0436
678,,0.0009,,0.042
679,,0.0009,,0.0404
680,,0.0009,,0.0388
681,,0.0009,,0.0368
682,,0.0008,,0.036
683,,0.0008,,0.0351
684,,0.0007,,0.0337
685,,0.0007,,0.0329
686,,0.0007,,0.0308
687,,0.0006,,0.0297
688,,0.0006,,0.0291
689,,0.0006,,0.0281
690,,0.0006,,0.0275
691,,0.0007,,0.0259
692,,0.0006,,0.0248
693,,0.0007,,0.024
694,,0.0005,,0.0241
695,,0.0005,,0.0227
696,,0.0004,,0.0225
697,,0.0006,,0.0216
698,,0.0005,,0.0208
699,,0.0005,,0.0198
700,,0.0004,,0.0193
